2013/ 2/28 23:28:50 1942  695  257
2013/ 2/28 23:30:53  139  123   72
2013/ 2/28 23:35: 4    0  116   92
2013/ 2/28 23:35:31   90  112  144
2013/ 2/28 23:39:55   57  110   50
2013/ 2/28 23:40: 9  150  141  195
2013/ 2/28 23:40:38   80  124    0
2013/ 2/28 23:40:40   64  100   82
2013/ 2/28 23:42:41   72   58   87
2013/ 2/28 23:43:20   62   94   97
2013/ 2/28 23:46:58  218  222 1043
2013/ 2/28 23:47: 0  516 1132  813
2013/ 2/28 23:48: 6  253  281  641
2013/ 2/28 23:48:36   81   78  106
2013/ 2/28 23:53: 5   97  115  114
2013/ 2/28 23:54: 6 1515 2047 1078
2013/ 2/28 23:58:16  159  166  139
2013/ 2/28 23:59: 3   87   73  190
2013/ 3/ 1  0: 0:32   96  158  182
2013/ 3/ 1  0: 1:11  140  270  253
2013/ 3/ 1  0: 1:33   77  372   91
2013/ 3/ 1  0: 1:56  109  517  190
2013/ 3/ 1  0: 2:26  201  105   65
2013/ 3/ 1  0: 3: 2  256  100   69
2013/ 3/ 1  0: 4:42   85    0  105
2013/ 3/ 1  0: 5:38   51  105  118
2013/ 3/ 1  0: 7:24  106  101  130
2013/ 3/ 1  0: 9:54  463  526  452
2013/ 3/ 1  0:12:48   76   92   72
2013/ 3/ 1  0:13:53  796  877 1791
2013/ 3/ 1  0:15:43  317  173  265
2013/ 3/ 1  0:16: 2  123  150  177
2013/ 3/ 1  0:16: 5   81   98  121
2013/ 3/ 1  0:21: 3    0  179  147
2013/ 3/ 1  0:21:39   59   68   84
2013/ 3/ 1  0:22:45  127  115  324
2013/ 3/ 1  0:26:31  100  107   51
2013/ 3/ 1  0:27:21 1014  201  171
2013/ 3/ 1  0:28:17   90   63   76
2013/ 3/ 1  0:28:22   73  161  154
2013/ 3/ 1  0:32: 1 1698 2047 1048
2013/ 3/ 1  0:33:41   74   94   88
2013/ 3/ 1  0:33:48    0  112  258
2013/ 3/ 1  0:34:28   75  174  279
2013/ 3/ 1  0:34:54   87   75   76
2013/ 3/ 1  0:36:24 1069  783  257
2013/ 3/ 1  0:37: 0   80   62  148
2013/ 3/ 1  0:37:16  135  112   88
2013/ 3/ 1  0:42:27  118  209  137
2013/ 3/ 1  0:43:47  275   91  212
2013/ 3/ 1  0:45: 3  217  125  193
2013/ 3/ 1  0:47:55  283  263  336
2013/ 3/ 1  0:48:54  162  143  234
2013/ 3/ 1  0:49:38  173   90    0
2013/ 3/ 1  0:52: 6   61   96  626
2013/ 3/ 1  0:53:14  483  125  170
2013/ 3/ 1  0:55:39   90  274  103
2013/ 3/ 1  0:56:23  627  530  893
2013/ 3/ 1  0:57:29  250  270  130
2013/ 3/ 1  0:58:46   78   83   73
2013/ 3/ 1  0:59: 7  657  188  114
2013/ 3/ 1  0:59: 9   83   82   49
2013/ 3/ 1  1: 1: 1  325  178   68
2013/ 3/ 1  1: 1:31  106   93   78
2013/ 3/ 1  1: 2: 5  116   71  109
2013/ 3/ 1  1: 4:22   63  131  337
2013/ 3/ 1  1: 4:38  132  110   90
2013/ 3/ 1  1: 6:52  572  534  532
2013/ 3/ 1  1: 7: 6  185 1018  648
2013/ 3/ 1  1: 7:55   72   94   87
2013/ 3/ 1  1: 8:42  230   89   87
2013/ 3/ 1  1:12:18  236   98  171
2013/ 3/ 1  1:12:43  240  234  602
2013/ 3/ 1  1:14:58  134   74   89
2013/ 3/ 1  1:20: 8  137   98   91
2013/ 3/ 1  1:21:42  113  133  163
2013/ 3/ 1  1:21:42  138  161   74
2013/ 3/ 1  1:22:15  223  254  240
2013/ 3/ 1  1:23: 9  263  128  162
2013/ 3/ 1  1:26:43   94  150  494
2013/ 3/ 1  1:29: 2  228  241  105
2013/ 3/ 1  1:29:23   66   70  147
2013/ 3/ 1  1:33:29  144   77  618
2013/ 3/ 1  1:35:24  262  367  100
2013/ 3/ 1  1:42:25  137   98  109
2013/ 3/ 1  1:42:29  162   65  298
2013/ 3/ 1  1:45:53   64  103   81
2013/ 3/ 1  1:47:23 1037  702  543
2013/ 3/ 1  1:48: 6   72   90  116
2013/ 3/ 1  1:49: 2  116  102   98
2013/ 3/ 1  1:49:47  168   60   82
2013/ 3/ 1  1:50:28    0  132  192
2013/ 3/ 1  1:50:41  489  230  372
2013/ 3/ 1  1:51:55   76   75   83
2013/ 3/ 1  1:54:49  110  190  186
2013/ 3/ 1  1:55:11  113  328  124
2013/ 3/ 1  1:57:57   78   72  120
2013/ 3/ 1  2: 0:20  191  126  481
2013/ 3/ 1  2: 7:24  816  612  837
2013/ 3/ 1  2:10: 0  244  659  270
2013/ 3/ 1  2:10:22   91  187  106
2013/ 3/ 1  2:11:34 1016  337  183
2013/ 3/ 1  2:12: 1  106  141  102
2013/ 3/ 1  2:12:57  165  225  131
2013/ 3/ 1  2:15: 7  939  113  114
2013/ 3/ 1  2:15:24  224  116  175
2013/ 3/ 1  2:16:54   96  236  204
2013/ 3/ 1  2:17:55    0  215  135
2013/ 3/ 1  2:18: 4  142   66  159
2013/ 3/ 1  2:18:14  146 1012   67
2013/ 3/ 1  2:18:26  130   98  212
2013/ 3/ 1  2:19:34  239  232  428
2013/ 3/ 1  2:19:38  683  494  442
2013/ 3/ 1  2:20: 6   75   73  104
2013/ 3/ 1  2:23: 2   63   69  164
2013/ 3/ 1  2:23:13  122  134   93
2013/ 3/ 1  2:23:26   73   62  242
2013/ 3/ 1  2:24:13  248  579  244
2013/ 3/ 1  2:24:26  388  172  378
2013/ 3/ 1  2:26:13 2047 2047 2047
2013/ 3/ 1  2:27:16  274  394  529
2013/ 3/ 1  2:27:55  467  507  392
2013/ 3/ 1  2:29:44  126  238  188
2013/ 3/ 1  2:31:35  306  120   60
2013/ 3/ 1  2:32:28    0  121   98
2013/ 3/ 1  2:35:54   82  202  108
2013/ 3/ 1  2:39:20   91  329  410
2013/ 3/ 1  2:40:34   61  149  180
2013/ 3/ 1  2:41:44  200  115  578
2013/ 3/ 1  2:42:23   70   84   83
2013/ 3/ 1  2:42:46  206  125  285
2013/ 3/ 1  2:42:47  130  102   74
2013/ 3/ 1  2:43:11  167  344  463
2013/ 3/ 1  2:44:11  217  109   62
2013/ 3/ 1  2:46:32   92   72   91
2013/ 3/ 1  2:49: 4  242  210  107
2013/ 3/ 1  2:49:42  128  128  150
2013/ 3/ 1  2:50:57  142  178  150
2013/ 3/ 1  2:51: 5   71  115   68
2013/ 3/ 1  2:53:43  632  499  454
2013/ 3/ 1  3: 0:35   68   74  118
2013/ 3/ 1  3: 0:39  221  102   60
2013/ 3/ 1  3: 0:59  136  106  163
2013/ 3/ 1  3: 1:13   79  196  250
2013/ 3/ 1  3: 5:55  213  145  182
2013/ 3/ 1  3: 8: 1   92  122  125
2013/ 3/ 1  3: 8: 8   85   75   68
2013/ 3/ 1  3:11:34  517  315   97
2013/ 3/ 1  3:12:12  100  137   99
2013/ 3/ 1  3:18:28   96  262   74
2013/ 3/ 1  3:19:58   91  139  371
2013/ 3/ 1  3:24:46  600  516  626
2013/ 3/ 1  3:25:35  304  322  133
2013/ 3/ 1  3:29: 6 1798 1709 1762
2013/ 3/ 1  3:30:21  773  295  513
2013/ 3/ 1  3:33: 2  102   96   67
2013/ 3/ 1  3:34:40   72   74   90
2013/ 3/ 1  3:36:51  193  219   64
2013/ 3/ 1  3:37:48  255  165   77
2013/ 3/ 1  3:38:51  223  155   82
2013/ 3/ 1  3:41:58  113  331  549
2013/ 3/ 1  3:46:44  116   79   85
2013/ 3/ 1  3:48: 6  135  117  168
2013/ 3/ 1  3:48:29  127  405  200
2013/ 3/ 1  3:48:55   98  181   97
2013/ 3/ 1  3:51:49  298  172  217
2013/ 3/ 1  3:52:35  100  268   75
2013/ 3/ 1  3:53:51   74  135    0
2013/ 3/ 1  3:56:36  226  511  299
2013/ 3/ 1  3:57:27  355  212   76
2013/ 3/ 1  3:59:11  167  259 1197
2013/ 3/ 1  4: 1:54  370  100   63
2013/ 3/ 1  4: 5:12  284  182   93
2013/ 3/ 1  4: 7:11  132   73  193
2013/ 3/ 1  4: 7:14  163  171  177
2013/ 3/ 1  4:10:15   74   98   83
2013/ 3/ 1  4:12:19  239  245  643
